datetime,run,benchmark,command,size,t_run,t_bookkeeping,t_rmem_write,t_rmem_read,n_fault,t_fault,n_swapfault,n_pfa_fault,n_early_newq,n_evicted,n_fetched,n_kpfad,t_kpfad
01281558,ramswap,qsort,./benchmarks/qsort/qsort 10000000,10121216,965099365,116649965,21899852,19846132,8827,150497041,1905,0,0,1967,1905,0,0
01281558,ramswap,qsort,./benchmarks/qsort/qsort 10000000,7590912,1148561331,273032361,59345071,48470125,12735,338774815,4665,0,0,5293,4665,0,0
01281558,ramswap,qsort,./benchmarks/qsort/qsort 10000000,5060608,1263996640,360222673,82272656,64092497,16905,451034144,6104,0,0,7373,6104,0,0
01281558,ramswap,qsort,./benchmarks/qsort/qsort 10000000,2530304,1505697071,576939113,131078413,101200621,21829,698892280,9780,0,0,11700,9780,0,0
01281558,ramswap,python,python ./benchmarks/python/bm_spambayes.py,10608640,5434079795,38117722,10669165,7598909,11569,256456163,726,0,0,962,726,0,0
01281558,ramswap,python,python ./benchmarks/python/bm_spambayes.py,7956480,5801729438,179649055,53898682,36492349,24574,597638479,3460,0,0,4814,3460,0,0
01281558,ramswap,python,python ./benchmarks/python/bm_spambayes.py,5304320,6991481507,712061748,158692365,136985584,60732,1590382835,12842,0,0,14165,12842,0,0
01281558,ramswap,python,python ./benchmarks/python/bm_spambayes.py,2652160,18108271112,4522142102,918611970,885527685,362649,11554771301,79917,0,0,81876,79917,0,0
01281558,ramswap,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,33726464,4641665221,1424535114,229880065,207179607,235964,1837547227,20588,0,0,20637,20594,0,0
01281558,ramswap,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,25294848,13676003726,9970774565,1941590493,1730441663,337189,10560513516,171570,0,0,173648,171654,0,0
01281558,ramswap,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,16863232,15556353542,11671752515,2154192062,1899685763,353617,12307175221,187765,0,0,191952,188012,0,0
01281558,ramswap,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,8431616,25052749488,20852870845,3965452157,3480818765,354090,21624183499,344121,0,0,350358,344571,0,0
01281558,ramswap,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,6770688,536521953,1222085,9269238,655215,1987,91765246,58,0,0,830,58,0,0
01281558,ramswap,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,5078016,479963469,3042968,5128112,587321,1828,40023944,57,0,0,456,57,0,0
01281558,ramswap,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,3385344,494165404,1022462,9900105,602331,1991,56224526,58,0,0,867,58,0,0
01281558,ramswap,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,1692672,2730177032,2037970681,390799267,340844952,75055,2208335702,33439,0,0,34640,33439,0,0
01281559,ramswap,qsort,./benchmarks/qsort/qsort 10000000,10121216,839526489,0,0,0,2514,22405741,0,0,0,0,0,0,0
01281559,ramswap,qsort,./benchmarks/qsort/qsort 10000000,7590912,1144971606,269902982,59322811,48504555,12695,334220341,4641,0,0,5284,4641,0,0
01281559,ramswap,qsort,./benchmarks/qsort/qsort 10000000,5060608,1259797286,360681846,81975934,63795879,17076,450910418,6086,0,0,7324,6086,0,0
01281559,ramswap,qsort,./benchmarks/qsort/qsort 10000000,2530304,1499370546,574101225,130684793,101548682,21817,695323219,9765,0,0,11620,9765,0,0
01281559,ramswap,python,python ./benchmarks/python/bm_spambayes.py,10608640,5330132951,33539805,15098894,11321504,10716,210943201,1041,0,0,1351,1041,0,0
01281559,ramswap,python,python ./benchmarks/python/bm_spambayes.py,7956480,5446152990,147287594,33890872,23800008,17248,267120293,2319,0,0,3021,2319,0,0
01281559,ramswap,python,python ./benchmarks/python/bm_spambayes.py,5304320,6147594102,640594424,128146834,103223377,41385,829922081,10056,0,0,11421,10056,0,0
01281559,ramswap,python,python ./benchmarks/python/bm_spambayes.py,2652160,9416005870,3104039769,560497985,492507620,178935,3591729793,47715,0,0,49670,47715,0,0
01281559,ramswap,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,33726464,3100005913,216752906,58885901,54057695,29884,422832872,5228,0,0,5268,5228,0,0
01281559,ramswap,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,25294848,13645715781,9925429161,1946096729,1729958591,337186,10516152243,171570,0,0,173648,171654,0,0
01281559,ramswap,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,16863232,15510602217,11660430485,2170974792,1898264782,353583,12294616672,188152,0,0,192323,188410,0,0
01281559,ramswap,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,8431616,24943992449,20722677376,3962220220,3470359051,354078,21481490204,344121,0,0,350318,344566,0,0
01281559,ramswap,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,6770688,459785080,823582,666925,449103,1821,24084007,43,0,0,60,43,0,0
01281559,ramswap,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,5078016,478330552,3185010,5595253,611175,1824,39469512,59,0,0,498,59,0,0
01281559,ramswap,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,3385344,493228078,2799008,10176457,604150,1991,56793997,58,0,0,876,58,0,0
01281559,ramswap,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,1692672,2719137466,2027784033,391047589,339736999,75353,2192853425,33461,0,0,34678,33461,0,0
01281559,ramswap,qsort,./benchmarks/qsort/qsort 10000000,10121216,839674736,0,0,0,2517,22318071,0,0,0,0,0,0,0
01281559,ramswap,qsort,./benchmarks/qsort/qsort 10000000,7590912,1142860416,268606645,59404936,48417418,12698,332131236,4641,0,0,5284,4641,0,0
01281559,ramswap,qsort,./benchmarks/qsort/qsort 10000000,5060608,1259394762,360867161,82199162,63588561,17079,451160158,6086,0,0,7324,6086,0,0
01281559,ramswap,qsort,./benchmarks/qsort/qsort 10000000,2530304,1499862889,573663257,131019535,101915873,21822,694765036,9765,0,0,11620,9765,0,0
01281559,ramswap,python,python ./benchmarks/python/bm_spambayes.py,10608640,5205281376,11550135,3467313,2732503,5880,97344550,260,0,0,313,260,0,0
01281559,ramswap,python,python ./benchmarks/python/bm_spambayes.py,7956480,5445683077,145674247,33522426,23740886,17318,270464061,2289,0,0,3006,2289,0,0
01281559,ramswap,python,python ./benchmarks/python/bm_spambayes.py,5304320,6144600941,631742703,128152948,103503702,41488,826959781,10065,0,0,11408,10065,0,0
01281559,ramswap,python,python ./benchmarks/python/bm_spambayes.py,2652160,9552332074,3215464509,578813788,511189435,183678,3713861198,49509,0,0,51455,49509,0,0
01281559,ramswap,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,33726464,3100823511,216647431,59096331,54493415,29887,425743959,5228,0,0,5268,5228,0,0
01281559,ramswap,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,25294848,13654879250,9941510018,1950154032,1733817427,337198,10553371228,171576,0,0,173674,171660,0,0
01281559,ramswap,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,16863232,15544584638,11616350204,2161093009,1897675409,353632,12273430922,187735,0,0,191865,187975,0,0
01281559,ramswap,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,8431616,24938139124,20815028215,3972443105,3478779642,354088,21539275862,344121,0,0,350313,344568,0,0
01281559,ramswap,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,6770688,455272315,448168,355940,255249,1800,19484484,25,0,0,32,25,0,0
01281559,ramswap,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,5078016,473580986,3233060,5245306,611506,1827,35007461,59,0,0,463,59,0,0
01281559,ramswap,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,3385344,490646987,2709235,10179076,641383,2005,52017872,60,0,0,889,60,0,0
01281559,ramswap,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,1692672,2708498579,2016924869,389141616,339274239,74941,2179871141,33350,0,0,34541,33350,0,0
