Config,Benchmark,MemSize,RunTime,t_bookkeeping,t_rmem_write,t_rmem_read,n_fault,t_fault,n_swapfault,n_pfa_fault,n_early_newq,n_evicted,n_fetched,t_kpfad,n_kpfad
pfa64_real,Qsort,64000000, 6293364411,162,0,0,15646,265278298,0,0,0,0,0,0,0
pfa64_real,Qsort,48000000,8424885909,1085958243,197083940,0,67059,1481608389,0,485,4808,34371,30999,0,0
pfa64_real,Qsort,32000000,9603760646,1644583974,305495270,0,63275,2174935178,0,750,10668,55437,47979,0,0
pfa64_real,Qsort,16000000,11572463215,2620303442,600152447,0,71021,3336763840,0,1190,23371,87785,76202,0,0
pfa64_real,Genome,64000000, 4098576449,2190,0,0,20971,505337234,0,0,8,0,0,0,0
pfa64_real,Genome,48000000,3678866476,216806527,37893091,0,48674,552872367,0,83,57,8481,5281,0,0
pfa64_real,Genome,32000000,6709694597,1591372025,231604811,0,302931,2476342002,0,628,5933,47511,40182,0,0
pfa64_real,Genome,16000000,44078657118,22006757252,5133874845,0,917568,24410390316,0,9836,42572,640934,629528,0,0
sw_real,Qsort,64000000,6259243304,0,0,0,15646,221207286,0,0,0,0,0,0,0
sw_real,Qsort,48000000,10835523540,2600143913,0,0,102578,3263857959,30919,0,0,34296,0,0,0
sw_real,Qsort,32000000,12829048566,4151318523,0,0,121630,5130655495,48065,0,0,55555,0,0,0
sw_real,Qsort,16000000,15930366951,6581987102,0,0,170478,8018691400,76474,0,0,88059,0,0,0
sw_real,Genome,64000000,4054169083,0,0,0,21376,466440267,0,0,0,0,0,0,0
sw_real,Genome,48000000,5084016515,503094331,0,0,55695,1052612126,5292,0,0,8525,0,0,0
sw_real,Genome,32000000,9419079612,3593194044,0,0,352478,4977919846,41282,0,0,48583,0,0,0
sw_real,Genome,16000000,52543222418,41509149002,0,0,1505927,45935990454,576464,0,0,587877,0,0,0
pfa64_switch,Qsort,48000000,8010813875,1097827109,190560930,0,67013,1490181231,0,485,4776,34379,31022,0,0
pfa64_switch,Qsort,32000000,8994234892,1677483549,293445128,0,63366,2210729834,0,750,10629,55485,47991,0,0
pfa64_switch,Qsort,16000000,10547493101,2636119620,598909021,0,70543,3344777387,0,1189,23039,87704,76121,0,0
pfa64_switch,Genome,48000000,3612425589,216129371,36881078,0,48737,551968876,0,82,52,8431,5212,0,0
pfa64_switch,Genome,32000000,6144201608,1574507786,229678063,0,300982,2453108877,0,628,5907,47538,40168,0,0
